1	9787010121208	侵权法上的作为义务研究	苏艳英	人民出版社	2013	17.9	17
296	9787115200891	飞屋环游记	美国迪士尼公司 童趣出版有限公司	人民邮电出版社	2009-8	14.8	14
297	9787115203793	用事实说话	[美]马克·墨菲（Mark Murphy）	人民邮电出版社	2019-1	49	49
298	9787115209597	打造超人气网店	韩国Dynamixer Well企划室	人民邮电	2009-9	49	49
299	9787115219008	UX设计之道	[美] 钱德勒	人民邮电出版社	2010-4	35	35
300	9787115219015	3GPP系统架构演进	朱丽 姜怡华 许慕鸿 习建德	人民邮电出版社	2010-3	65	65
301	9787115232038	哈代数论	D.Roger	人民邮电出版社	20101015	69	69
302	9787115241122	无线多媒体传感器网络技术	王汝传 孙力娟	人民邮电出版社	2011-4	32	32
303	9787115242594	Python参考手册（第4版）	David M.Beazley	人民邮电出版社	2010-12	89	89
304	9787115243232	美国简明摄影教程	伦敦 斯通 杨健 陈欣钢	人民邮电出版社	2011-4	69	69
305	9787115248862	外行学Access 2003从入门到精通	神龙工作室	人民邮电	2011-4	45	45
306	9787115268310	巴啦啦小魔仙 魔仙手工学园.梦幻空间	广州奥飞文化传播有限公司|主编:童趣出版有限公司	人民邮电	2012-1	18.8	18
307	9787115270191	九型人格说话术	李国辉	人民邮电	2011-12	32	32
308	9787115274175	iPhone摄影	阿默	人民邮电出版社	2012-5	49	49
309	9787115277244	北海道悠游旅行	墨刻编辑部	人民邮电	2012-5	32	32
310	9787115278692	Canon PowerShot G12使用详解	Jeff Carlson	人民邮电出版社	2012-6	49	49
311	9787115282965	失去苹果树-懒羊羊外传认读故事-3	广东原创动力文化传播有限公司 童趣出版有限公司	人民邮电出版社	2012-7	16.8	16
312	9787116011465	长江三峡工程重大地质与地震问题研究	《长江三峡工程重大地质与地震问题研究》编写组	地质出版社	1992-10	6.8	6
313	9787116025578	松辽盆地反转构造	等	地质出版社	1998-05	10	10
314	9787116027404	地下采矿系统分析与综合集成	等	地质出版社	1998-12	20	20
315	9787116046887	矿产资源规划实施评估	鹿心社	地质出版社	2006-9	128	128
316	9787116066342	山西省代县金红石矿的矿物学及矿床成因研究	庞尔成	地质出版社	2010-4	20	20
317	9787117030441	不孕与不育	罗丽兰 编	人民卫生出版社	2001-12	90	90
318	9787117032933	英语.上册	人民卫生出版社	人民卫生出版社	2006-6	18.2	18
319	9787117033046	中医基本常识	柴瑞霁/编	人民卫生出版社	2007-1	9.1	9
320	9787117040570	介入性磁共振成像	Debatin	人民卫生出版社	2001-2	207	207
321	9787117051521	内分泌疾病中西医结合诊治	黄贵心等编	人民卫生出版社	2002-12	60	60
322	9787117054119	中西医结合消化病学	危北海等编	人民卫生出版社	2003-5	90	90
323	9787117065030	多器官衰竭	E.Baue	人民卫生出版社	2004-12	110	110
324	9787117065733	组织行为学	陈力/编	人民卫生出版社发行部	2005-2	25	25
325	9787117070102	SPSS 13.0统计软件应用教程	陈平雁	人民卫生出版社	2006-1	33	33
326	9787117074421	临床诊疗指南	中华医学会	人民卫生出版社	2006-3	16	16
327	9787117075152	牛津临床泌尿外科手册	雷纳德	人民卫生出版社	2006-5	40	40
328	9787117075954	妊娠合并症	盖戈	人民卫生出版社	2006-7	78	78
329	9787117077170	妇产科护理学学习指导及习题集	顾炜	人民卫生出版社	2006-7	20	20
330	9787117086677	寿亲养老新书	陈直	人民卫生	2007-7-1	14	14
331	9787117093637	康复心理治疗方案	宋为群	人民卫生	2008-1	29	29
332	9787117113434	针灸治疗颈椎病	杜琳/编	人民卫生	2009-4	14	14
333	9787117136839	波前像差与临床视觉矫正	王雁//赵堪兴	人民卫生	2011-1	115	115
334	9787117150750	2012全国护士执业资格考试指导	全国护士执业资格考试用书编写专家委员会	人民卫生	2011-12	128	128
335	9787117159296	病理学	李澎涛 范英昌	人民卫生出版社	2012-8	58	58
336	9787117167819	2013医学综合笔试考前必做6000题临床执业医师	叶波/编	人民卫生出版社	2013-1	80	80
337	9787117189705	言语治疗技术（第2版，高职中医康复）	田莉	人民卫生出版社	2014	24.6	24
338	9787117191784	先天性心脏病经胸微创封堵术	邢泉生/主编	人民卫生出版社	2014	149	149
339	9787117197779	小儿脑性瘫痪作业治疗	李林	人民卫生出版社	2014	39.8	39
340	9787117206396	2型糖尿病患者自我管理一本通	北京糖尿病防治协会	人民卫生出版社	2015-6-1	35	35
341	9787117221146	眼整形美容外科图谱（第2版/配增值）	李冬梅	人民卫生出版社	2016	425	425
342	9787117222082	盆腔疾病影像图谱	刘玉品	人民卫生出版社	2016	168	168
343	9787117224703	重症医学：规范·流程·实践	杨毅/主编	人民卫生出版社	2016	32	32
344	9787117224772	影像学(第2版/本科中医药类/配增值)	王芳军	人民卫生出版社	2016	43	43
345	9787117237277	麻省总医院精神病学手册（第6版 翻译版）	斯坦恩 许毅	人民卫生出版社	2017	124.8	124
346	9787117254281	澄江针灸学派：特色针灸操作技术（配增值）	张建斌 夏有兵	人民卫生出版社	2017	56.7	56
347	9787117269445	乳腺病五十年临证精要	杜青坡 杜娟	人民卫生出版社	2018	22.8	22
348	9787118028454	应用服务器专家解决方案	张云峰	国防工业出版社	2002-9	32	32
349	9787118031829	电脑上网培训教程与上机实践	金榜教育资讯	国防工业出版社	2003-9-1	26	26
350	9787118037180	触类旁通	萧宿荣编	第1版 (2005年1月1日)	2005-1	17	17
351	9787118037319	IELTS作文模板100篇	周克江	国防工业出版社	2005-1-1	25	25
352	9787118040296	司令部工作教程	王文龙	国防工业出版社	1970-1	36	36
353	9787118042764	电脑室内装修设计实例与技巧	可小军	国防工业出版社	2006-1	38	38
354	9787118044119	船舶动力装置安装工艺学	陆金铭	国防工业	2006-5	18	18
355	9787118058550	数字电路与逻辑设计实用教程	韩桂英	国防工业出版社	2008-8	33	33
356	9787118066449	GNSS单频软件接收机应用与编程	易维勇	国防工业出版社	2010-4	29	29
357	9787118072860	软件可靠性工程	陆民燕/编	国防工业出版社	2011-4	48	48
358	9787118072914	大学英语口语教程	高丙梁 于莹	国防工业出版社	2011-2	19	19
359	9787118074222	数值仿真及其在航天发射技术中的应用	傅德彬/编	国防工业	2011-4	48	48
360	9787118074581	无线通信中迭代均衡技术	罗显平	国防工业	2011-7	39	39
361	9787118089141	口译新视角：理论与实践	金奕彤	国防工业出版社	2013-10-1	39	39
362	9787118099232	卫星导航信号模拟源理论与技术	杨俊	国防工业出版社	2015	78.4	78
363	9787118106022	野战火箭武器概论	韩珺礼 王雪松 刘生海	国防工业出版社	2015	65.6	65
364	9787118113501	分离式霍普金森（考尔斯基）杆的设计、试验和应用	陈为农 宋博 姜锡权 卢玉斌	国防工业出版社	2018	78.4	78
365	9787118114331	战法实验理论与方法	王本胜 赵子海	国防工业出版社	2017	39.2	39
366	9787119002101	你那么文艺为何还没有工作	九层传播	浙江省期刊总社; 第1版	2015-7-3	3	3
367	9787119018478	长江三峡	外文社	外文出版社	1999-01	39	39
368	9787119020839	英语写作技巧新编	汪福祥	外文出版社	1997-08	18	18
369	9787119020853	管理战略	辛德(英)	外文出版社	1997-10	12.8	12
370	9787119021522	汽车城	阿瑟.黑利(加拿大)	外文出版社	1998-01	17.8	17
371	9787119027104	英语模糊语法	王逢鑫	外文出版社	2001年1月1日	20	20
372	9787119037455	英汉对照心灵阅读	王亚男	外文出版社	2004-7	15.8	15
373	9787119040660	初中英语语法	《非常英语专项进阶》编写组	外文出版社	2005-1	16.8	16
374	9787119048802	英汉词典	李大琦/编	外文出版社	2007-1	45	45
375	9787119059518	看！我是万变英语情景任意门	梁娜 曲晓东 王赫男	外文出版社	2009-8	38	38
376	9787119060255	江泽民文选-第1卷-英文版	Zemin Jiang	Foreign Languages Press	2010-1-1	90	90
377	9787119070476	新课标·多功能版小学生歇后语谚语俗语惯用语词典	《小学生歇后语谚语俗语惯用语词典》编写组 编	外文	2011-6	19.8	19
378	9787119073613	挑战与展望	Weiwei Zhang	Foreign Languages Press	2012-1	128	128
379	9787119082011	金钱创造历史	赖纳•特劳布	外文出版社	2013-5	39	39
380	9787120001124	计算机系统设计与结构	休林	电子工业出版社	2004-6	55	55
381	9787121007170	信息时代军事变革与指挥控制	阿尔伯特	电子工业出版社	2005-11	25	25
382	9787121009198	微型计算机原理及应用	朱定华  戴汝平	电子工业	2005-1	25	25
383	9787121011474	供应商与大卖场合作之道	潘文富	电子工业出版社	2005-6	22	22
384	9787121012860	超级芯片和单片数码彩电电路分析与检修	王忠诚	电子工业出版社	2005-7	42	42
385	9787121022135	培养高效执行的员工	米基·霍利迪	电子工业出版社	2006-3	28	28
386	9787121022944	健康自己负责	[美]爱德华克里埃根	电子工业	2006-4	28	28
387	9787121026829	市场营销英语基础	范学红	电子工业出版社	2006-9	14.7	14
388	9787121027253	画法几何基础及机械制图	刘黎	电子工业	2006-8	35	35
389	9787121036965	ArcObjects开发指南	冯克忠	电子工业	2007-1	45	45
390	9787121038198	中国模具工程大典（第5卷）	夏巨谌/编	电子工业	2007-3	109	109
391	9787121043581	Excel 2007电子表格处理实用教程	刘小伟	电子工业	2007-7	48	48
392	9787121044298	园林计算机辅助设计	黄心渊	电子工业	2008-1	35	35
393	9787121049583	新编国内外三极管速查手册	本书编写组/编	电子工业	2008-1	138	138
394	9787121054686	实用谈判技法大全	《实用文库》编委会/编	电子工业出版社	2008-1	75	75
395	9787121055959	基础工业造型	林春深	电子工业	2008-1	42	42
396	9787121059612	C++ Builder案例开发集锦	黄铝文	电子工业出版社	2008-4	45	45
397	9787121063589	最新税收政策详解与实务应用手册	翟继光、张晓冬	电子工业出版社	2008-5	55	55
398	9787121065279	大脑使用手册	[美]丹尼尔·G·阿门	电子工业出版社	2008-10	29	29
399	9787121074257	嵌入式系统开发基础	腾英岩	电子工业出版社	2008-10	25	25
400	9787121077098	2008年全国无线电应用与管理学术会议论文集	谢飞波 全国无线电应用与管理学术会议	电子工业出版社	2008-11	98	98
401	9787121078743	中国旅游地理	张志宇 胡柏翠	电子工业出版社	2009-1	28	28
402	9787121084362	电工简明手册	李雅轩	电子工业出版社	2009-4	19.8	19
403	9787121098642	AutoCAD 2009中文版应用教程	曾令宜 史先进	电子工业出版社	2012-7	34	34
404	9787121103308	成为淘宝创业的超级毕业生	贾少华	电子工业出版社	2010-2	29	29
405	9787121104206	电子装配工技能实训与考核指导（中、高级工）	杜江淮	电子工业	2010-2	24	24
406	9787121108785	实战网络营销	张书乐	电子工业出版社	2010-7	45	45
407	9787121117404	大中型网络入侵要案直击与防御	肖遥	电子工业出版社	2010年11月	79	79
408	9787121123146	现代控制工程	尾形克彦 (Katsuhiko Ogata)	电子工业出版社	2011-8-1	85	85
409	9787121125935	马德里	霍兰 韦德 阿诺德 芦雅楠 李斌 李昆鹏	电子工业出版社	2011-1	39	39
410	9787121136573	Photoshop CS3图形图像处理	张巍 张穗宜	电子工业出版社	2011-8	32	32
411	9787121136962	汽车车身电控系统检修	李华	电子工业出版社	2011-8	26	26
412	9787121138782	转念就转运	刘明凡	电子工业	2011-7	25	25
413	9787121142055	泛在应用与创新	工业和信息化部	电子工业出版社	2011-12	128	128
414	9787121149344	初中化学知识结构图解	魏子鑫	电子工业	2011-11	15	15
415	9787121150760	跟爱因迪生学电子元器件	爱因迪生	电子工业出版社	2012-1	25	25
416	9787121158919	第99只羊（全三册）	(德)达格玛·亨泽 绘	电子工业出版社	2012-4	41.4	41
417	9787121200908	物联网感知技术与应用（上）	汤一平	电子工业出版社	2013-4	78	78
418	9787121210341	外贸英语对话	郭丽辉/主编	电子工业出版社	2013	28	28
419	9787121214080	电工作业	梁燕清	电子工业出版社	2013-9	22	22
420	9787121214097	Director多媒体应用教程	许晓洁、仲福根、顾彩莉	电子工业出版社	2014	23.5	23
421	9787121217685	电子产品故障预测与健康管理	陆裕东	电子工业出版社	2013-11	39	39
422	9787121238857	大型分布式网站架构设计与实践	陈康贤	电子工业出版社	2014-9-1	79	79
423	9787121259739	新电工实用电路600例	邢军/编著	电子工业出版社	2015	49.8	49
424	9787121283024	AutoCAD 2016中文版快捷命令权威授权版	ACAA教育	电子工业出版社	2016-5	45	45
425	9787121288715	会吃的女人气色好 爱动的女人不易老	刘建平/主编	电子工业出版社	2016	49.8	49
426	9787121289750	区块链	赵刚	电子工业出版社	2016-6	49	49
427	9787121299155	118种奇思妙想的科学与创意游戏	Helen	电子工业出版社	2016	34.4	34
428	9787200046083	饮食话源	张辅元	北京出版社	2003-03	27	27
429	9787200055832	奇妙的记忆	徐晓敏编	北京出版社	2004-9	8	8
430	9787200059151	吴裕泰	毛白鸽	北京出版社	2005-1	98	98
431	9787200067477	三国志	陈寿	北京出版社	2007-1	19.9	19
432	9787200084597	银色的维也纳	于志强	北京出版集团公司	2010-12	300	300
433	9787200087055	加菲猫	吉姆·戴维斯	北京	2011-7	28	28
434	9787200126402	专家细说中风	陈晓红/主编	北京出版社	2017	22	22
435	9787200130768	直到世界尽头——从北京到好望角的单车骑行日志	小北京	北京出版社	2017-10-1	49	49
436	9787200135299	春明梦余录	王剑英 点校	北京出版社	2018-2	198	198
437	9787200139365	波兰	德国梅尔杜蒙公司	北京出版社		49	49
438	9787201022765	《两地书》研究	王得后	天津人民出版社	1995-6	16	16
439	9787201041483	语文。2005年全国中考试题	杨志芳	天津人民出版社	2005-7	13.8	13
440	9787201041674	无限透明之蓝	郝建	天津人民出版社	2003-1	16	16
441	9787201046419	镜花缘	(清)李汝珍	天津人民出版社	2003-12	12.8	12
442	9787201070575	2010年度短篇小说精选	林霆 段守新 中国小说学会	天津人民出版社	2011-5	28	28
443	9787201073217	艰	于永玉 迟卉	天津人民出版社	2012-1	19.8	19
444	9787201075631	历史.时势.人心	雷海宗	天津人民出版社	2012-6-1	48	48
445	9787201091228	庄子全鉴（耀世典藏版）	庄子 芳园	天津人民出版社	2015	29.9	29
446	9787201112879	停止吼叫教育孩子请别任性	编者:文静	天津人民	2017-05-01	36.8	36
447	9787201118413	环地福分类字课图说	〔清〕储星远/校	天津人民出版社	2017-7-31	999	999
448	9787201137728	托尔斯泰自述	[俄] 列夫·托尔斯泰	天津人民出版社	2018-8-1	58	58
449	9787201138602	白蛇	严歌苓	天津人民出版社	2018-9	39.8	39
450	9787201152110	为了孩子	陈冰	天津人民出版社	2019-11-1	59.8	59
451	9787202004722	二十世纪美国史	黄安年	河北人民出版社	1989-7	7.05	7
452	9787203045281	全功能万年历	王艳芳等编	山西人民出版社	2003-4	18	18
453	9787203073949	SAS语言教程及其应用	张应山//张晓琴//李顺勇	山西人民	2011-8	60	60
454	9787203080725	云图书馆理论与实践	王红	山西人民出版社发行部	2012-12	38	38
455	9787203083283	忻州市河道管理实用指南	李建平/等编著	山西人民出版社发行部	2013	68	68
456	9787203087250	一蓑烟雨任平生—— 父母双亲回忆录	张忠义	山西人民出版社发行部	2014-9-1	28	28
457	9787203091356	老歌的发现	杨浪	山西人民出版社	2015-10	48	48
458	9787203102649	近代戏曲档案文献丛编/近代散佚戏曲文献集成·戏曲史料汇28	齐如山	山西人民出版社 三晋出版社	2018	157.5	157
459	9787204088614	小学生提高语文成绩的500个必读故事	史燕龙	内蒙古人民	2006-12	21.6	21
460	9787204104505	名人传	(法)罗曼·罗兰	内蒙人民	2010-9	19.8	19
461	9787204126224	内蒙古旅游文化丛书：内蒙古自然奇观（全彩图文版）	冯军胜	内蒙古人民出版社	2014	15.8	15
462	9787205053123	新读写大语文·小学四卷	任彦钧编	辽宁人民出版社	2002-6	10	10
463	9787205067861	好心情离不开心理学	李丽	辽宁人民	2010-4	25	25
464	9787205076047	告诉世界我能行	葛永慧	辽宁人民出版社	2013-4	24	24
465	9787205095468	拣尽寒枝不肯栖：苏东坡传	凉月满天	辽宁人民出版社	2019-7	48	48
466	9787206052385	思想品德	王耀鹏	吉林人民	2010-4	17.8	17
467	9787206055379	中华上下五千年	崔钟雷	吉林人民出版社	2008-7	19.8	19
468	9787206071737	塑造安全	戴维·坎贝尔	吉林人民出版社	2011-1	42	42
469	9787207004345	黄天霸全传	果志等	黑龙江人民出版社	1988-5	10	10
470	9787207052377	生命在风雪中:梁南论 (精装)	梁伦	黑龙江人民出版社	2002年01月	10	10
471	9787207062277	踏入社会必学的50件事	黄明耀	黑龙江人民出版社	2004-6-1	15.8	15
472	9787207071101	世界经典名著文库-童年 在人间/我的大学	高尔基	黑龙江人民出版社	2007-1	18	18
473	9787207085955	招抚宁古塔	赵君伟	黑龙江人民出版社	2010-1	26	26
474	9787208023727	写在子夜	陈思和	上海人民出版社	1996-09	12.8	12
475	9787208027220	知青咸淡录	邹静之	上海人民出版社	1998	10.6	10
476	9787208045200	市场反应模型	（美）汉森等	上海人民出版社	2003-04	48	48
477	9787208045224	中国社会主义意识形态建设纵论	朱兆中	上海人民出版社	2003-1	30	30
478	9787208057920	外国直接投资、国内资本与中国经济增长	罗长远	上海人民	2005-9	20	20
479	9787208059030	上海金融年鉴2005	上海金融年鉴编辑部/编	上海人民出版社	2005年11月1日	220	220
480	9787208060326	创新风暴	创新风暴2005 CCTV中国经济年度人物评选组	上海世纪出版集团（上海人民出版社）	2006-1	38	38
481	9787208063105	体态语言	亚德里安·弗海姆	上海人民	2006-7	12	12
482	9787208063242	时间管理	梅特兰	上海人民	2006-7	11	11
483	9787208068568	巴尔扎克《人间喜剧》中的生活	[法]菲利普·贝尔捷	上海人民出版社	2007年8月	34	34
484	9787208073746	党的创新理论研究论丛（第1辑）	中共上海市委宣传部理论处/编	上海人民出版社	1970-1	38	38
485	9787208079168	世界的智慧	[法]莱米·布拉格	上海人民出版社	2008-08	32	32
486	9787208093201	机甲兽神对战大秘籍	漫界文化/编	上海人民	2010-6	16	16
487	9787208102743	埃及社会保障制度	李超民	上海人民	2011-10	48	48
488	9787208104013	九歌.绿衣	米兰Lady	上海人民出版社 世纪文睿出品	2012-1	26	26
489	9787208116306	醒来，在托斯卡纳	韩良忆	世纪文景/上海人民出版社	2014-1	39	39
490	9787208119055	善意恶行	（英）凯特·阿特金森	上海人民出版社/世纪文睿	2014-1	35	35
491	9787208119710	谁曾路过春暖花开	李琬愔	上海人民出版社/世纪文睿	2014-3	25	25
492	9787208128699	失忆的年代	[瑞典] 谢尔·埃斯普马克	上海人民出版社	2015-5-1	88	88
493	9787208130241	城市社会个体化进程中的当代老年家庭	杨雪晶	上海人民出版社	2015	27.7	27
494	9787208138841	被仰望与被遗忘的	[美] 盖伊·特立斯	上海人民出版社	2017-3	65	65
495	9787208143609	中国科举制度通史·辽金元卷	高福顺	上海人民出版社	2017-4	110	110
496	9787208144217	创新与转型	徐建刚 中共上海市委	上海人民出版社	2017	69.3	69
497	9787208147089	美国对华贸易政策政治经济学研究	胥丽	上海人民出版社	2017	30.4	30
498	9787208150034	读书毁了我	王强	世纪文景 | 上海人民出版社	2018-3	59	59
499	9787208150195	悲剧的诞生	[德]弗里德里希·尼采/著	上海人民出版社	2018-6	52	52
500	9787208153448	筑梦喀什 情系丝路	薛锡祥	上海人民出版社	2018	48	48
501	9787209042291	2012版山东省公务员录用考试专用教材	李永新/编	山东人民出版社	2012-3	48	48
502	9787209053013	医学应用文写作	李一鸣、王爱香	山东人民出版社	2010-5	34	34
503	9787209071253	青藏路.岁月棋	刘永源	山东人民出版社	2013-1	32	32
504	9787209092135	泇运河的前世今生	董运启	山东人民出版社	2015	28.5	28
505	9787209094986	应用文写作	史英新	山东人民出版社	2016	24	24
506	9787210024392	失控的世界	[英] 安东尼·吉登斯	江西人民出版社	2001-9	15	15
507	9787210030331	20世纪的文化变革	丁晓强	江西人民出版社	2004-10	29	29
508	9787210035466	因为我爱你	陆可铎（MAX LUCADO）	江西人民出版社	2007-4-1	16	16
509	9787210035565	皇权与相权	杜雅萍	江西人民	2007-2	38	38
510	9787210044529	慧缘大师教你学风水（全二册）	慧缘	江西人民	2010-7	34.8	34
511	9787210044987	听星云大师讲人生智慧	史慧莉	江西人民	2010-9	32.8	32
512	9787210086598	你的人格魅力终将成就你自己：每天读点弗洛伊德	梦芝	江西人民出版社	2016	24.6	24
513	9787210104636	别输在太敏感上	春日	江西人民出版社	2018	31.5	31
514	9787211002283	耗散结构与系统演化	颜泽贤	福建人民出版社	1987-11	1.5	1
515	9787211016112	社会主义与个人的解放	李光远	福建人民出版社	1991-6	3.35	3
516	9787211052790	趣说古代官场生态	完颜绍元	福建人民出版社	2006-6	32	32
517	9787211056316	古田方言熟语歌谣	李滨	福建人民	2008-6	16.5	16
518	9787211061471	阐释的焦虑	刘小新	福建人民出版社	2010-1	30	30
519	9787211066865	纽约，不顺利抵达	张哲	福建人民出版社	2013-4	30	30
520	9787211068609	严复年谱	孙应祥	福建人民出版社	2014-2-1	150	150
521	9787211079650	数字福建	福建省数字福建建设领导小组办公室	福建人民出版社	2018-4	128	128
522	9787212060190	弗洛伊德与莎乐美通信集	[俄] 露·安德烈亚斯-莎乐美	安徽人民出版社	2013-7	38	38
523	9787212060893	明天醒来，还有青春	嘉倩	安徽人民出版社	2013-3	32.8	32
524	9787212067274	中国名校指南（彩色图文版）	王恃雷/主编	安徽人民出版社	2014	48.8	48
525	9787213004384	绅士道与武士道：日英比较文化论	（英）丽月塔（Trevor Pryce Leggett）	浙江人民出版社	1990-3	3.4	3
526	9787213017650	功过格	[美] 包筠雅	浙江人民出版社	1999-9	16.5	16
527	9787213018091	国学与汉学	桑兵	浙江人民出版社	1999-11-01	19	19
528	9787213032592	凤鸣华冈	王永太	浙江人民	2006-4	20	20
529	9787213095139	哈佛学子“无我”专注力	王子欣	浙江人民出版社·	2020-5	58	58
530	9787213097355	财务自由新思维：索罗斯的投资哲学	苑举正	浙江人民出版社	2020-7-1	58	58
531	9787214024695	创意风景摄影100例	谷威	江苏人民出版社	2000-1	17	17
532	9787214029140	社会正义原则	[英]戴维·米勒	江苏人民	2001-6	26	26
533	9787214057402	苏俄马克思主义的资本主义观	陈培永	凤凰出版传媒集团/江苏人民出版社	2009	45	45
534	9787214059093	哥伦布之墓	Miguel Ruiz Montanze	江苏人民出版社	2009年7月	22	22
535	9787214061447	醉眼看李白	车延高	江苏人民出版社	2010/1	25	25
536	9787214065971	我们都要性小康	李扁	江苏人民出版社	2011-1	25	25
537	9787214066107	艾利寻亲记	(英)霍莉·韦伯|译者:李红侠	江苏人民	2011-1	10	10
538	9787214068378	六朝精神史研究	吉川忠夫	江苏人民出版社	2012-1-1	40	40
539	9787214165664	学会和领导面对面说话	余世伟	江苏人民出版社	2015-12-31	35	35
540	9787214191625	法律解释学读本	王叶刚	江苏人民出版社/江苏凤凰美术出版社	2016-9	35	35
541	9787214207142	什么是中华传统美德	徐小跃	江苏人民出版社	2018	45	45
542	9787214240538	古希腊和罗马城邦经济社会史文献选辑	解光云	江苏人民出版社	2020-3-1	98	98
543	9787215060036	论语说	闫合作	河南人民出版社	2006-12	28	28
544	9787215090491	张裕钊年谱长编	孙莹莹	河南人民出版社	2014-12	48	48
545	9787215094321	青少年百科知识文库（自然密码）：神奇的地球	司马法良	河南人民出版社	2015	23.5	23
546	9787216045780	农地产权制度创新与农民土地财产权利保护	陈明	湖北人民出版社	2011-2	24	24
547	9787218025384	刘少奇之路	黄峥	广东人民出版社	1998-10	20	20
548	9787218046884	明代大儒陈白沙	曹太乙	广东人民出版社	2004-10	10	10
549	9787218051758	基督教历史	法兰克·卡尔蒂尼	广东人民出版社	2006-1	30	30
550	9787218060514	周易辨原	黄天骥	广东人民出版社	2008-12	48	48
551	9787218061801	汗牛养生馆第1季	利盛莉/编	广东人民	2009-10	8	8
552	9787218066035	晚清小说大家	左鹏军	广东人民出版社	2009-12	15	15
553	9787218068077	现代学林点将录	胡文辉	广东人民出版社	2010-8-1	68	68
554	9787218088792	岭南理论视野丛书·经验、行动与效果的彰显：杜威价值论研究	余泽娜	广东人民出版社	2013	17.5	17
555	9787218116396	商界之道	《博客天下》杂志社编著	广东人民出版社	2017-4	39	39
556	9787218122267	看视频！轻松学做暖胃早餐	甘智荣	广东人民出版社	2018	24.1	24
557	9787218127286	梁冬说庄子·齐物论	梁冬	广东人民出版社	2018-5-1	69.9	69
558	9787218135182	我亲爱的偏执狂	姚一十	广东人民出版社	2019-6-1	48	48
559	9787218137629	南岭历史地理研究·第三辑	吴滔	广东人民出版社	2020-1	42	42
560	9787219050446	汉末浮生记之袤原驰骋(上下) (平装)	龙鹰凌	广西人民出版社	2004-6	32	32
561	9787219057827	图说论语100名言	赵炳臣	广西人民出版社	2007-1	19.8	19
562	9787219073353	御宅女赖上贵公子	亚未	广西人民	2011-6	25	25
563	9787219075685	太空城市	吴国兴 薛滔	广西人民出版社	2011-11	38	38
564	9787219096161	家庭花卉种养100招	周传林	广西人民出版社	2016	28.5	28
565	9787220041167	简明古汉语字典	张永言/编	四川人民出版社	2001-1	55	55
566	9787220055744	马克思主义基础理论	王万民	四川人民出版社	2001-9	32	32
567	9787220056000	外国文学名著导读	刁纯志编	四川人民出版社	2001-8	25	25
568	9787220077128	都江堰的历史功臣张沅父子 (平装)	张良羽	四川人民出版社	2008	20	20
569	9787220085307	哈达瑜伽之光	斯瓦特玛拉摩	四川人民	2012-1	36	36
570	9787220096907	狼女寻母三部曲 狼女寻母记/郑冠群	郑冠群	四川人民出版社	2016	19.2	19
571	9787221081711	热气球惊魂	李国伟	贵州人民	2008-10	12	12
572	9787221160041	如何停止不开心	Andrea Owen	后浪丨贵州人民出版社	2020-8	39.8	39
573	9787222029002	寻找陌生的西藏	彭见明	云南人民出版社	2000-1-1	12	12
574	9787222029385	聆听西藏-以图片的方式	张维，张晓岚选编	云南人民	2000-3	49.5	49
575	9787222063907	诡刺	纷舞妖姬	云南人民	2010-4	29.8	29
576	9787222082793	梦的解析	【奥】弗洛伊德	云南人民出版社	2011-9	35	35
577	9787222084766	爱尔兰民间故事选编	丁振祺/编译	云南人民出版社	2011-12	33	33
578	9787222115040	南天一柱 唐继尧	胡珺	云南人民出版社	2015	22	22
579	9787222147645	泰语报刊阅读教程	杨万洁	云南人民出版社	2016-7	35	35
580	9787222160729	逃亡的情人(长篇小说卷)	李钧龙	云南人民出版社	2017	33.8	33
581	9787223027359	凡情与佛心	凡情与佛心六世达赖情诗选编写组	西藏人民	2010-1	38	38
582	9787223027533	细节中的文明	范学德	西藏人民出版社	2009-12	25	25
583	9787224074208	经济学原理（上下）	马歇尔	陕西人民出版社	2006-2	55	55
584	9787224108934	世界伟人传记：成吉思汗	陈秋帆	陕西人民出版社	2014	16.5	16
585	9787226013878	基督山伯爵(上下)	大仲马	甘肃人民出版社	1994-11	29	29
586	9787226037065	敦煌古代书法艺术	马昕	甘肃人民出版社	2008	30	30
587	9787226042489	多元宗教文化视野下的中外关系史	华侨大学华人华侨研究院/编	甘肃人民出版社	2012-6	48	48
588	9787226046845	中共甘肃省委党校学者文库 宋圭武集	宋圭武	甘肃人民出版社	2014	46	46
589	9787227038368	中国共产党固原革命史	马文清 中国固原市委党史研究室	宁夏人民出版社	2008-9	48	48
590	9787228051595	在森林在草原	唐戈	新疆人民出版社	2000年01月	20.8	20
591	9787228117901	艺术	周红//禾苗卡通	新疆人民	2009-9	3.8	3
592	9787300019437	研究生英语精读教程(上)	刘利君	中国人民大学出版社	1994-06	26	26
593	9787300031439	写作	韩满玲	中国人民大学出版社	2001-5-1	18	18
594	9787300034126	失业保险	杨伟民/编	中国人民大学出版社	2000-12	23	23
595	9787300043173	美学概论	牛宏宝	中国人民大学出版社	2003-8	17	17
596	9787300043272	非营利组织战略营销	科特勒	中国人民大学出版社	2003-12	58	58
597	9787300045849	并非有效的市场	none	人民大学	2003-1	48	48
598	9787300047027	新产品开发	马克・扬西蒂	中国人民大学出版社	2003-7	22	22
599	9787300050430	PM	秦志华 张建军	中国人民大学出版社	2004-5	35	35
600	9787300054216	光的颜色	[英]梅雷迪恩·胡珀等	人民大学	2004-4	15	15
